IN_LET,OUT_LET
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.1,28.200000000000003
30.0,28.200000000000003
30.0,28.200000000000003
30.0,28.200000000000003
30.0,28.200000000000003
30.0,28.200000000000003
30.0,28.200000000000003
30.0,28.200000000000003
30.0,28.200000000000003
30.0,28.200000000000003
30.0,28.200000000000003
30.0,28.200000000000003
30.0,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
29.9,28.200000000000003
